,Unnamed: 0,Brown_Dwarf_Name,Constellation,Apparent_Magnitude,Distance_BrownDwarf,Mass_BrownDwarf,Radius_BrownDwarf,Gravity_Dwarf,Discovery_year,V_mag,Star_name,Distance_Star,Mass_Star,Radius_Star,Gravity_Star
0,0,2MASS 0036+1821,Pisces,12.47,28.6,7.974437234399999e+28,67202685.95399994,173387415388997.4 m/s2,2000.0,0.000−26.74,Sun,0.000015813,1.989e+30,695700000.0,40353533361789.91 m/s2
1,1,Teegarden's star,Aries,15.4,12.578,1.5189404256e+29,90795118.25699992,180928313375455.7 m/s2,2003.0,0.001−1.46,Sirius,0008.6,4.1769e+30,1189647000.0,28980684675544.207 m/s2
3,3,2MASS J03552337+1133437,Taurus,14.05,29.8,3.797351064e+28,94369729.21200001,41870304844362.95 m/s2,2006.0,0.004−0.27,Alpha Centauri,0004.4,2.1879e+30,834840000.0,30825615762478.402 m/s2
4,4,2MASS J04151954−0935066,Eridanus,15.7,18.6,5.696026596e+28,67917608.14499994,121254547081692.17 m/s2,2002.0,0.005−0.05,Arcturus,0037,2.1879e+30,18088200000.0,65664033576.877075 m/s2
5,5,LSR 0602+3910 [de],Auriga,20.88,34.6,5.3162914895999995e+28,100804028.93099992,51374049004147.37 m/s2,2003.0,0.03,Vega,0025,4.3758e+30,1878390000.0,12178021041966.775 m/s2
6,6,DENIS J081730.0-615520,Carina,13.6,16.1,8.3541723408e+28,67202685.95399994,181643958978949.7 m/s2,2010.0,0.08,Capella,0043,5.1714e+30,8348400000.0,728605463476.7625 m/s2
8,8,2MASS J1047538+212423 [de],Leo,15.8,34.4,7.974437234399999e+28,67202685.95399994,173387415388997.4 m/s2,1999.0,0.34,Procyon,0011.4,2.9835e+30,1321830000.0,16767396133707.723 m/s2
9,9,DEN 1048-3956,Antlia,17.4,13.15,1.46198015964e+29,76496674.43699999,245328023206523.94 m/s2,2000.0, 0.45,Betelgeuse,0640[1],3.978e+31,660915000000.0,894261127.1310782 m/s2
12,12,2MASS J11145133−2618235,Hydra,15.86,18.2,6.265629255599999e+28,68632530.33599994,130615724409016.84 m/s2,2005.0,0.76,Altair,0017,3.5802e+30,1252260000.0,22418629645438.84 m/s2
15,15,2MASSI J1217110-031113 [de],Virgo,15.86,36.0,7.974437234399999e+28,67202685.95399994,173387415388997.4 m/s2,1999.0,0.96,Antares,0600,2.3868e+31,473076000000.0,1047237024.9599459 m/s2
16,16,2M 1237+6526,Draco,16.05,45.6,7.784569681199998e+28,67202685.95399994,169259143594021.25 m/s2,2003.0,0.97,Spica,0260,2.2734269999999998e+31,5196879000.0,8265832384876.564 m/s2
17,17,SDSSp J125453.90-012247.4 [de],Virgo,14.9,38.0,8.9237750004e+28,70062374.71799994,178512937346858.25 m/s2,2000.0,1.14,Pollux,0034,3.7790999999999997e+30,6122160000.000001,990078943535.6508 m/s2
18,18,SDSSp J132629.82-003831.5 [de],Virgo,16.1,65.0,9.6832452132e+28,69347452.52699994,197720043426598.2 m/s2,2000.0,1.16,Fomalhaut,0025,3.7790999999999997e+30,1252260000.0,23664109070185.438 m/s2
25,25,2MASSW J1506544+132106 [de],Boötes,13.0,46.0,1.3100861170799998e+29,72922063.482,241920536432931.7 m/s2,2000.0,1.64,Gacrux,0088,2.9835e+30,58438800000.0,8578557262.285273 m/s2
27,27,2MASSW J1515008+484742 [de],Boötes,14.0,34.0,1.08224505324e+29,70777296.90899992,212142877878106.06 m/s2,2003.0,1.65,Elnath,0130,9.945e+30,2921940000.0,11438076349713.691 m/s2
30,30,2MASS J15462718-3325111 [de],Lupus,16.0,37.0,8.3541723408e+28,67202685.95399994,181643958978949.7 m/s2,2002.0,1.72,Gamma Velorum,"01,100",1.7900999999999998e+31,4174200000.0,10088383340447.479 m/s2
35,35,2MASSW J1632291+190441 [de],Hercules,22.0,50.0,9.3035101068e+28,69347452.52699994,189966316233398.25 m/s2,1999.0,1.80,Mirfak,0590,1.69065e+31,47307600000.0,74179289267.99615 m/s2
37,37,LSR J1835+3259,Lyra,18.27,18.5,1.46198015964e+29,76496674.43699999,245328023206523.94 m/s2,2003.0,1.84,Sargas,0270,1.13373e+31,18088200000.0,340259083080.18115 m/s2
38,38,2MASS J22282889-4310262,Grus,15.66,35.0,7.974437234399999e+28,67202685.95399994,173387415388997.4 m/s2,2013.0,1.85,Kaus Australis,0140,6.9615e+30,4730760000.0,3054441322799.8423 m/s2
39,39,WISE 0410+1502,Taurus,19.25,20.0,1.1392053191999999e+28,83645896.34699993,15988345202896.805 m/s2,2010.0,1.86,Avior,0630,1.7900999999999998e+31,90441000000.0,21490047352.432495 m/s2
40,40,WISE 0458+6434A,Camelopardalis,17.5,35.9,2.848013298e+28,300267320.22,3101820542551.7856 m/s2,2010.0,1.86,Alkaid,0104,1.2132899999999998e+31,2365380000.0,21293819507518.895 m/s2
41,41,WISE 0458+6434B,Camelopardalis,18.48,35.9,1.898675532e+28,271670432.5799999,2526136397535.251 m/s2,2010.0,1.90,Menkalinan,081,4.75371e+30,1927089000.0,12569555804803.646 m/s2
42,42,WISE 1405+5534,Ursa Major,20.2,25.3,5.696026596e+28,61483308.42600001,147961369309392.9 m/s2,2010.0,1.91,Atria,0390,1.3923e+31,64004400000.0,33373668895.6202 m/s2
